hayesExtra_onlySchwaIsOverridenWithZeroTense	syllabic	stress	long	consonantal	sonorant	continuant	delayed_release	approximant	tap	trill	nasal	voice	spread_gl	constr_gl	LABIAL	round	labiodental	CORONAL	anterior	distributed	strident	lateral	DORSAL	high	low	front	back	tense
m̩	1	-1	-1	1	1	-1	0	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0
n̩	1	-1	-1	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0	0	0
ɾ̃	-1	-1	-1	1	1	1	0	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0	0	0
l̩	1	-1	-1	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	0	0	0	0	0
ŋ̩	1	-1	-1	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0
ɪ̈	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	-1	-1
ə	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	0
ə̥	1	-1	-1	-1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	0
ə˞	1	-1	-1	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	0
ɘ˞	1	-1	-1	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1
pʰ	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0
p͡fʰ	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	0	0	0	-1	-1	0	0	0	0	0
