BruceHayes2007	syllabic	stress	long	consonantal	sonorant	continuant	delayed_release	approximant	tap	trill	nasal	voice	spread_gl	constr_gl	LABIAL	round	labiodental	CORONAL	anterior	distributed	strident	lateral	DORSAL	high	low	front	back	tense
ɒ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0
ɑ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0
ɶ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	-1	1	1	-1	0
a	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	-1	0
æ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	1	-1	0
ʌ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	-1
ɔ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	-1
o	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	1
ɤ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	1
ɘ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	1
œ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	-1
ə	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	-1
e	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1
ɞ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	-1
ø	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1
ɛ	1	-1	-1	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	-1
