Name	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	raisedLarynxEjective	loweredLarynxImplosive	click
a	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	+1	-1	-1	0	-1	-1	+1	-1	-1	-1	0	-1	-1	0
aː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	+1	-1	-1	0	-1	-1	+1	-1	-1	-1	0	-1	-1	0
æ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	+1	+1	-1	0	-1	-1	+1	-1	-1	-1	0	-1	-1	0
æː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	+1	+1	-1	0	-1	-1	+1	-1	-1	-1	0	-1	-1	0
e	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	+1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
eː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	+1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɤ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɤː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
h	0	-1	-1	-1	-1	-1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
i	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	+1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
iː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	+1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
j	0	-1	-1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	+1	-1	+1	0	0	+1	-1	-1	-1	-1	-1	-1	-1
k	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
kʰ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
kˀ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	-1	+1	-1	-1	-1	-1
l	0	-1	-1	-1	-1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
m	0	-1	-1	-1	-1	+1	+1	-1	0	-1	-1	-1	+1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
n	0	-1	-1	-1	-1	+1	+1	-1	0	-1	-1	-1	+1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ŋ	0	-1	-1	-1	-1	+1	+1	-1	0	-1	-1	-1	+1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
o	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	+1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ø	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	+1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
oː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	+1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
p	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
pʰ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
pˀ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	+1	-1	-1	-1	-1
s	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
sˀ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	+1	-1	-1	-1	-1
t	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
tʰ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
t̠ʃ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
t̠ʃʰ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
t̠ʃˀ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	+1	-1	-1	-1	-1
tˀ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	+1	-1	-1	-1	-1
u	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	+1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
uː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	+1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɯ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	+1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɯː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	+1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
w	0	-1	-1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	+1	+1	0	0	+1	-1	-1	-1	-1	-1	-1	-1
y	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	+1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ʔ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	+1	-1	-1	-1	-1
b	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
d	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
dʲ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ɨ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɨː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ʝ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
k̟	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
lˠ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	+1	+1	-1	-1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
lʲ	0	-1	-1	-1	-1	+1	+1	+1	0	+1	-1	-1	-1	+1	-1	0	0	+1	+1	-1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
nʲ	0	-1	-1	-1	-1	+1	+1	-1	0	-1	-1	-1	+1	-1	-1	0	0	+1	+1	-1	-1	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ɔ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɔː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	+1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɵ̞	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	-1	0	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɵ̞ː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	-1	0	-1	-1	+1	-1	-1	-1	0	-1	-1	0
q	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
sʲ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
tʲ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
ʊ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	+1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
æˤ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	+1	+1	-1	0	+1	-1	+1	-1	-1	-1	0	-1	-1	0
e̞ˤ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	+1	-1	0	+1	-1	+1	-1	-1	-1	0	-1	-1	0
